Категория,Название,Полное название,Ссылка
Иммуномодулирующее и иммуностимулирующее действие,Виферон,Виферон суппозитории ректальные 150000МЕ №10,https://аптека-омск.рф/lek/viferon-suppozitorii-rektalnye-150000-me-no10
Иммуномодулирующее и иммуностимулирующее действие,Лавомакс,Лавомакс Нео таблетки покрытые плёночной оболочкой 125мг №3,https://аптека-омск.рф/lek/lavomaks-neo-0125-n3-tabl-pplenoboloch
Иммуномодулирующее и иммуностимулирующее действие,Реаферон,"Реаферон-ЕС лиофилизат для приготовления раствора для инъекций и местного применения 0,5млн МЕ флаконы №5",https://аптека-омск.рф/lek/reaferon-es-liof-prigot-r-ra-din-i-mest-prim-05-mln-me-fl-no5
Иммуномодулирующее и иммуностимулирующее действие,Ингарон,Ингарон лиофилизат для интраназального введения 100 тысяч ме флакон №1,https://аптека-омск.рф/lek/ingaron-liofilizat-dlya-intranazalnogo-vvedeniya-100-tysyach-me-flakon-no1
Иммуномодулирующее и иммуностимулирующее действие,Виферон,Виферон суппозитории ректальные 150000МЕ №10,https://аптека-омск.рф/lek/viferon-supp-rekt-150-000-me-no10
Иммуномодулирующее и иммуностимулирующее действие,Арпефлю,Арпефлю таблетки покрытые плёночной оболочкой 100мг №30,https://аптека-омск.рф/lek/arpeflyu-100mg-no30-tab-pplo
Иммуномодулирующее и иммуностимулирующее действие,Деринат,"Деринат раствор для местного и наружного применения 0,25% флакон 10мл",https://аптека-омск.рф/lek/derinat-r-r-dnar-i-mestn-prim-025-10ml-fl
Иммуномодулирующее и иммуностимулирующее действие,Циклоферон,Циклоферон раствор для внутривенного и внутримышечного введения 125 мг/мл 2мл ампулы №5,https://аптека-омск.рф/lek/cikloferon-125mgml-rastvor-dlya-vv-i-vm-vved-2ml-ampuly-no5
Иммуномодулирующее и иммуностимулирующее действие,Ликопид,Ликопид таблетки 1мг №10,https://аптека-омск.рф/lek/likopid-1mg-tab-kh10
Иммуномодулирующее и иммуностимулирующее действие,Имудон,Имудон таблетки для рассасывания №24,https://аптека-омск.рф/lek/imudon-tabletki-dlya-rassasyvaniya-no24
Иммуномодулирующее и иммуностимулирующее действие,Генферон,Генферон Лайт суппозитории вагинальные и ректальные 125000МЕ №10,https://аптека-омск.рф/lek/genferon-layt-supp-vag-i-rekt-125-tysme5mg-no10
Иммуномодулирующее и иммуностимулирующее действие,Ликопид,Ликопид таблетки 1мг №10,https://аптека-омск.рф/lek/likopid-tab-1mg-no10
Иммуномодулирующее и иммуностимулирующее действие,Цитовир-3,Цитовир-3 порошок для приготовления раствора для приема внутрь для детей флакон 20г,https://аптека-омск.рф/lek/citovir-3-por-prigot-r-ra-dvn-priema-ddetey-fl-20g-0
Иммуномодулирующее и иммуностимулирующее действие,Эликсир,Эликсир Эвалар 250мл,https://аптека-омск.рф/lek/evalar-eliksir-250ml-butylki-iu
Иммуномодулирующее и иммуностимулирующее действие,Цитовир-3,Цитовир-3 порошок для приготовления раствора для приема внутрь для детей флакон 20г,https://аптека-омск.рф/lek/citovir-3-por-prigot-r-ra-dvn-priema-ddetey-fl-20g
Иммуномодулирующее и иммуностимулирующее действие,Виферон,Виферон суппозитории ректальные 500000МЕ №10,https://аптека-омск.рф/lek/viferon-suppozitorii-rektalnye-500000-me-no10
Иммуномодулирующее и иммуностимулирующее действие,Циклоферон,Циклоферон таблетки покрытые кишечнорастворимой оболочкой 150мг №20,https://аптека-омск.рф/lek/cikloferon-tabletki-150-mg-no20
Иммуномодулирующее и иммуностимулирующее действие,Виферон,Виферон суппозитории ректальные 500000МЕ №10,https://аптека-омск.рф/lek/viferon-supp-rekt-500-000-me-no10
Иммуномодулирующее и иммуностимулирующее действие,Реаферон,Реаферон-ЕС лиофилизат для приготовления раствора для инъекций и местного применения 1млн МЕ ампулы №5,https://аптека-омск.рф/lek/reaferon-es-liofil-dpr-r-ra-dinek-i-mestn-prim-amp-1mln-me-no5
Иммуномодулирующее и иммуностимулирующее действие,Галавит,Галавит таблетки подъязычные 25мг №10,https://аптека-омск.рф/lek/galavit-tabletki-podyazychnye-25-mg-no10
Иммуномодулирующее и иммуностимулирующее действие,Цитовир-3,Цитовир-3 сироп для детей 50мл,https://аптека-омск.рф/lek/citovir-3-sirop-ddetey-50ml
Иммуномодулирующее и иммуностимулирующее действие,Цитовир-3,Цитовир-3 капсулы №12,https://аптека-омск.рф/lek/citovir-3-kaps-no12
Иммуномодулирующее и иммуностимулирующее действие,Лавомакс,Лавомакс Нео таблетки покрытые плёночной оболочкой 125мг №6,https://аптека-омск.рф/lek/lavomaks-neo-0125-n6-tabl-pplenoboloch
Иммуномодулирующее и иммуностимулирующее действие,Имудон,Имудон таблетки для рассасывания №40,https://аптека-омск.рф/lek/imudon-tabletki-dlya-rassasyvaniya-no40
Иммуномодулирующее и иммуностимулирующее действие,Реаферон,Реаферон-ЕС-Липинт лиофилизат для приготовления суспензии для приёма внутрь 250000МЕ флаконы №5,https://аптека-омск.рф/lek/reaferon-es-lipint-250000-me-flakony-no5-liof
Иммуномодулирующее и иммуностимулирующее действие,Инозин,Инозин пранобекс таблетки 500мг №20,https://аптека-омск.рф/lek/inozin-pranobeks-500mg-tab-kh20
Иммуномодулирующее и иммуностимулирующее действие,Виферон,Виферон суппозитории ректальные 1000000МЕ №10,https://аптека-омск.рф/lek/viferon-supp-rekt-1000000me-no10
Иммуномодулирующее и иммуностимулирующее действие,Генферон,Генферон Лайт спрей назальный дозированный 50000МЕ+1мг/доза 100 доз,https://аптека-омск.рф/lek/genferon-layt-sprey-naz-dozir-50-000me1mgdoza-s-dozat-raspylit-100doz-no1
Иммуномодулирующее и иммуностимулирующее действие,Трекресил,Трекресил таблетки 200мг №10,https://аптека-омск.рф/lek/trekresil
Иммуномодулирующее и иммуностимулирующее действие,Ирс 19 спрей,Ирс 19 спрей назальный 20мл,https://аптека-омск.рф/lek/irs-19-sprey-nazalnyy-20ml
Иммуномодулирующее и иммуностимулирующее действие,Бронхо-мунал,Бронхо-Мунал капсулы 7мг №10,https://аптека-омск.рф/lek/bronkho-munal-kaps-7mg-no10
Иммуномодулирующее и иммуностимулирующее действие,Виферон,Виферон суппозитории ректальные 1000000 МЕ №10,https://аптека-омск.рф/lek/viferon-1000000me-n5x2-supp-rekt
Против аллергии,Диазолин,Диазолин драже 50мг №10,https://аптека-омск.рф/lek/diazolin-005-n10-drazhefarmstandart
Против аллергии,Лоратадин,Лоратадин Вертекс таблетки 10мг №10,https://аптека-омск.рф/lek/loratadin-verteks-tab-10mg-no10
Против аллергии,Цетиризин,Цетиризин таблетки покрытые плёночной оболочкой 10мг №10,https://аптека-омск.рф/lek/cetirizin-10mg-tab-pplob-kh10
Против аллергии,Диазолин,Диазолин драже 100мг №10,https://аптека-омск.рф/lek/diazolin-drazhe-100-mg-kh10
Против аллергии,Лоратадин,Лоратадин таблетки 10мг №10,https://аптека-омск.рф/lek/loratadin-tab-10mg-no10-0
Против аллергии,Лоратадин,Лоратадин-штада таблетки 10мг №10,https://аптека-омск.рф/lek/loratadin-shtada-tabl-10-mg-kh10
Против аллергии,Хлоропирамин,Хлоропирамин таблетки 25мг №20,https://аптека-омск.рф/lek/khloropiramin-tab-25mg-no20
Против аллергии,Кетотифен,Кетотифен таблетки 1мг №30,https://аптека-омск.рф/lek/ketotifen-tab-1mg-no30-0
Против аллергии,Лоратадин,Лоратадин-эколаб сироп 1мг/мл 100мл флакон,https://аптека-омск.рф/lek/loratadin-ekolab-sirop-1mgml-100ml-fl-poliet-s-lozh-mern-iu
Против аллергии,Лоратадин,Лоратадин Вертекс таблетки 10мг №30,https://аптека-омск.рф/lek/loratadin-verteks-tab-10mg-no30
Против аллергии,Цетиризин,Цетиризин таблетки покрытые плёночной оболочкой 10мг №20,https://аптека-омск.рф/lek/cetirizin-tab-pplen-ob-10mg-no20
Против аллергии,Лоратадин,Лоратадин тева таблетки 10мг №7,https://аптека-омск.рф/lek/loratadin-teva-tabl-10-mg-kh7
Против аллергии,Лоратадин,Лоратадин-акрихин таблетки 10мг №10,https://аптека-омск.рф/lek/loratadin-akrikhin-tabl-10-mg-kh10
Против аллергии,Супрастин,Супрастин таблетки 25мг №20,https://аптека-омск.рф/lek/suprastin-tabletki-25-mg-no20
Против аллергии,Супрастин,Супрастин раствор для внутривенного и внутримышечного введения 20мг/мл ампулы 1мл №5,https://аптека-омск.рф/lek/suprastin-vv-vm-20-mgml-1ml-no5amp
Против аллергии,Ломилан,Ломилан таблетки 10мг №10,https://аптека-омск.рф/lek/lomilan-tabletki-10-mg-no10
Против аллергии,Кларидол,Кларидол Аллерго таблетки 10мг №10,https://аптека-омск.рф/lek/klaridol-allergo-001-n10-tabl
Против аллергии,Цетрин,Цетрин таблетки покрытые пленочной оболочкой 10мг №20,https://аптека-омск.рф/lek/cetrin-tabletki-pokrytye-plenochnoy-obolochkoy-10-mg-no20
Против аллергии,Цетиризин,Цетиризин таблетки покрытые плёночной оболочкой 10мг №30,https://аптека-омск.рф/lek/cetirizin-001-n30-tabl-pplenobolochozon
Против аллергии,Дезлоратадин,Дезлоратадин таблетки покрытые плёночной оболочкой 5мг №10,https://аптека-омск.рф/lek/dezloratadin-tab-po-plyon-5mg-no10
Против аллергии,Зиртек,Зиртек капли для приема внутрь 10мг/мл флакон 20мл,https://аптека-омск.рф/lek/zirtek-kapli-dlya-priema-vnutr-10-mgml-flakon-20-ml
Против аллергии,Зиртек,Зиртек капли для приема внутрь 10мг/мл флакон 20мл,https://аптека-омск.рф/lek/zirtek-kapli-dlya-priema-vnutr-10-mgml-flakon-20-ml-0
Против аллергии,Эльцет,Эльцет таблетки покрытые пленочной оболочкой 5мг №7,https://аптека-омск.рф/lek/elcet-tabletki-pokrytye-plenochnoy-obolochkoy-5mg-no7
Против аллергии,Солонэкс,"Солонэкс капли для приема внутрь 10мг/мл,флакон 20мл",https://аптека-омск.рф/lek/soloneks-kapli-dlya-priema-vnutr-10mgml-flakon-20ml
Против аллергии,Зиртек,Зиртек таблетки покрытые пленочной оболочкой 10мг №20,https://аптека-омск.рф/lek/zirtek-tabletki-pokrytye-plenochnoy-obolochkoy-10-mg-no20
Против аллергии,Кларитин,Кларитин таблетки 10мг №14,https://аптека-омск.рф/lek/klaritin-tab-10-mg-no14
Против аллергии,Цетиризин-,Цетиризин тева таблетки покрытые плёночной оболочкой 10мг №30,https://аптека-омск.рф/lek/cetirizin-teva-tabl-po-plen-10-mg-kh30
Против аллергии,Цетрин,Цетрин таблетки покрытые пленочной оболочкой 10мг №30,https://аптека-омск.рф/lek/cetrin-tabletki-pokrytye-plenochnoy-obolochkoy-10-mg-no30
Против аллергии,Супрастин,Супрастин таблетки 25мг №40,https://аптека-омск.рф/lek/suprastin-tabletki-25-mg-no40
Против аллергии,Лоратадин,Лоратадин тева таблетки 10мг №30,https://аптека-омск.рф/lek/loratadin-teva-tabl-10-mg-kh30
Против аллергии,Аллервэй,Аллервэй таблетки покрытые пленочной оболочкой 5мг №10,https://аптека-омск.рф/lek/allervey-tabletki-pokrytye-plenochnoy-obolochkoy-5mg-no10
Против аллергии,Эзлор,Эзлор таблетки покрытые плёночной оболочкой 5мг №10,https://аптека-омск.рф/lek/ezlor-5mg-tab-pplob-kh10
Против аллергии,Зиртек,Зиртек таблетки покрытые пленочной оболочкой 10мг №30,https://аптека-омск.рф/lek/zirtek-tabletki-pokrytye-plenochnoy-obolochkoy-10-mg-no30-0
Против аллергии,Блогир,Блогир-3 таблетки для рассасывания 5мг №10,https://аптека-омск.рф/lek/blogir-3-tabletki-dlya-rassasyvaniya-5-mg-no10
Против аллергии,Супрастинекс,Супрастинекс таблетки покрытые пленочной оболочкой 5мг №7,https://аптека-омск.рф/lek/suprastineks-tabletki-pokrytye-plenochnoy-obolochkoy-5-mg-no7
Против аллергии,Монтрал,Монтрал МЛ таблетки покрытые плёночной оболочкой 5мг+10мг №10,https://аптека-омск.рф/lek/montral-ml-tab-po-plen-5mg10mg-no10
Против аллергии,Дезал,Дезал таблетки покрытые пленочной оболочкой 5мг №10,https://аптека-омск.рф/lek/dezal-tabletki-pokrytye-plenochnoy-obolochkoy-5mg-no10
Против аллергии,Дезлоратадин,Дезлоратадин таблетки покрытые плёночной оболочкой 5мг №30,https://аптека-омск.рф/lek/dezloratadin-tab-po-plyon-5mg-no30
Против аллергии,Блогир,"Блогир-3 сироп 0,5мг/мл флакон 60мл",https://аптека-омск.рф/lek/blogir-3-sirop-05mgml-flakon-60-ml
Против аллергии,Аллервэй,Аллервэй экспресс таблетки диспергируемые в полости рта 5мг №10,https://аптека-омск.рф/lek/allervey-ekspress-tabletki-dispergiruemye-v-polosti-rta-5-mg-no10
Ушные капли,Ципромед,"Ципромед капли ушные 0,3% флакон-капельница 10мл",https://аптека-омск.рф/lek/cipromed-kapli-ushnye-03-flakon-kapelnica-10ml
Ушные капли,Иардол,Иардол капли ушные 3%+2% флакон 15мл,https://аптека-омск.рф/lek/iardol-32-15ml-kapli-ushnye
Ушные капли,Данцил,"Данцил капли глазные/ ушные 0,3% 5мл",https://аптека-омск.рф/lek/dancil-kapli-glaznye-ushnye-03-5ml
Ушные капли,Отолорин,Отолорин капли ушные 10мл,https://аптека-омск.рф/lek/otolorin-kapli-ushnye-10ml-fl-iu
Ушные капли,Окомистин,"Окомистин капли глазные, ушные и назальные 0,01% флакон-капельница 10мл",https://аптека-омск.рф/lek/okomistin-kap-glaznye-ushnye-nazalnye-001-fl-kapelnica-10ml
Ушные капли,Максиколд,Максиколд ототита капли ушные 15мл,https://аптека-омск.рф/lek/maksikold-ototita-kapli-ushnye-15-ml
Ушные капли,Окомистин,"Окомистин капли глазные, ушные и назальные 0,01% флакон-капельница 10мл",https://аптека-омск.рф/lek/okomistin-kap-glaznye-ushnye-nazalnye-001-fl-kapelnica-10ml-0
Ушные капли,Лоротокс,Лоротокс капли ушные 1%+4% флакон с капельницей 16г,https://аптека-омск.рф/lek/lorotoks-kapli-ushnye-14-16g-fl-st-s-kapel-polim-iu
Ушные капли,Анауран капли,Анауран капли ушные 25мл,https://аптека-омск.рф/lek/anauran-kapli-ushnye-fl-25ml
Ушные капли,Отипакс капли,Отипакс капли ушные флакон-капельница 16г,https://аптека-омск.рф/lek/otipaks-kapli-ushnye-flkap-16-g-kh1
Ушные капли,Отипакс,Отипакс капли ушные флакон-капельница 16г,https://аптека-омск.рф/lek/otipaks-ush-kapli-10mgg40mgg-16g-skidka-v-cene-5-pri-zakaze-kratno-5
Ушные капли,Кандибиотик,Кандибиотик капли ушные 5мл,https://аптека-омск.рф/lek/kandibiotik-kapli-ushnye-5-ml
Ушные капли,Комбинил,Комбинил капли глазные и ушные 5мл,https://аптека-омск.рф/lek/kombinil-kapli-glaznye-i-ushnye-5-ml
Витамины,Ревит,Ревит драже №100,https://аптека-омск.рф/lek/revit-drazhe-no100-0
Витамины,Аскорбиновая кислота,Аскорбиновая кислота драже 50мг №200 /Алтайвитамины/,https://аптека-омск.рф/lek/askorbinovaya-kislota-005-n200-drazhe-altayvitaminy
Витамины,Гексавит,Гексавит драже №50,https://аптека-омск.рф/lek/geksavit-drazhe-no50-banki-polim-iu-0
Витамины,Ревит драже,Ревит драже №100,https://аптека-омск.рф/lek/revit-drazhe-no100
Витамины,Аскорбиновая кислота,Аскорбиновая кислота драже 50мг №200,https://аптека-омск.рф/lek/askorbinovaya-k-ta-005-n200-drazhe
Витамины,Аевит,Аевит капсулы №20,https://аптека-омск.рф/lek/aevit-kaps-no20
Витамины,Никотиновая кислота,Никотиновая кислота раствор для инъекций 10 мг/мл ампулы 1мл №10 /Дальхимфарм/,https://аптека-омск.рф/lek/nikotinovaya-kislota-001ml-1ml-n10-amp-r-r-din-dalkhimfarm
Витамины,Никотиновая кислота,Никотиновая кислота раствор для инъекций 10мг/мл ампулы 1мл №10,https://аптека-омск.рф/lek/nikotinovaya-k-ta-r-r-dinek-10-mgml-amp-1-ml-kh10-0
Витамины,Никотиновая кислота,Никотиновая кислота таблетки 50мг №50,https://аптека-омск.рф/lek/nikotinovaya-kislota-tabletki-50-mg-no50
Витамины,Аскорутин,Аскорутин таблетки №50,https://аптека-омск.рф/lek/askorutin-tabletki-no50
Витамины,Аскорутин,Аскорутин таблетки №50,https://аптека-омск.рф/lek/askorutin-tabletki-no50-3
Витамины,Аскорутин,Аскорутин таблетки №50,https://аптека-омск.рф/lek/askorutin-tabletki-no50-1
Витамины,Аскорбиновая кислота,Аскорбиновая кислота драже 50мг №200,https://аптека-омск.рф/lek/askorbinovaya-kislota-farmstandart-drazhe-kh200
Витамины,Аевит,Аевит капсулы №30,https://аптека-омск.рф/lek/aevit-kaps-kh30
Витамины,Аскорутин,Аскорутин таблетки №50,https://аптека-омск.рф/lek/askorutin-tabletki-no50-2
Витамины,Кальция глюконат,Кальция глюконат раствор для внутривенного и внутримышечного введения 100мг/мл ампулы 5мл №10,https://аптека-омск.рф/lek/kalciya-glyukonat-100mgml-5ml-amp-no10
Витамины,Аспаркам,Аспаркам авексима таблетки №56,https://аптека-омск.рф/lek/asparkam-aveksima-tabletki-no56
Витамины,фолиевая кислота,9 месяцев фолиевая кислота таблетки покрытые пленочной оболочкой 400мкг №30,https://аптека-омск.рф/lek/9-mesyacev-folievaya-kislota-tab-pplen-ob-400mkg-no30
Витамины,Аевит,Аевит капсулы №30,https://аптека-омск.рф/lek/aevit-kaps-100000me01g-no30-iu
Витамины,Альфа-токоферола ацетат,Альфа-токоферола ацетат раствор для приёма внутрь масляный 300мг/мл 50мл,https://аптека-омск.рф/lek/alfa-tokoferola-acetat-r-r-vite-dpr-vnutr-maslyan-300mgml-50ml-flpolimer
Витамины,Аскорутин,Аскорутин таблетки №50,https://аптека-омск.рф/lek/askorutin-tabletki-no50-0
Витамины,Аспаркам,Аспаркам таблетки №56,https://аптека-омск.рф/lek/asparkam-tabletki-no56
Витамины,Феррум лек,Феррум Лек сироп 50мг/5мл флакон 100мл,https://аптека-омск.рф/lek/ferrum-lek-sirop-50mg5ml-fl-100ml
Витамины,Вигантол,"Вигантол капли для приема внутрь масляные 0,5мг/мл 10мл",https://аптека-омск.рф/lek/vigantol-kapli-dlya-priema-vnutr-maslyanye-05mgml-10ml
Витамины,Пентовит,Пентовит таблетки покрытые оболочкой №50,https://аптека-омск.рф/lek/pentovit-tabletki-pokrytye-obolochkoy-no50
Витамины,Пентовит,Пентовит таблетки покрытые оболочкой №50,https://аптека-омск.рф/lek/pentovit-tabletki-pokrytye-obolochkoy-no50-0
Витамины,ДэТриФерол,ДэТриФерол 15000МЕ/мл капли для приема внутрь с анисовым вкусом 10мл,https://аптека-омск.рф/lek/detriferol-kapli-dpr-vnutr-15000meml-10ml-fl-iu-s-anisovym-vkusom
Витамины,Аквадетрим,АкваДетрим Витамин D3 капли для приема внутрь 15000 МЕ/мл флакон-капельница 10мл,https://аптека-омск.рф/lek/akvadetrim-vitamin-d3-kapli-dlya-priema-vnutr-15000-meml-flakon-kapelnica-10-ml-2
Витамины,Компливит мама,Компливит Мама для беременных и кормящих женщин таблетки покрытые оболочкой №30,https://аптека-омск.рф/lek/komplivit-mama-tabletki-no-30
Витамины,Витамин е,Витамин е капсулы 400мг №30,https://аптека-омск.рф/lek/vitamin-e-kapsuly-400mg-no30
Витамины,ДэТриФерол,ДэТриФерол 15000МЕ/мл капли для приема внутрь с анисовым вкусом 15мл,https://аптека-омск.рф/lek/detriferol-15000meml-kapli-dlya-priema-vnutr-so-vkusom-anisa-15ml
Витамины,Комплигам,Комплигам В раствор для внутримышечного введения ампулы 2мл №5,https://аптека-омск.рф/lek/kompligamv-r-r-dlya-vm-vved-2ml-no5
Витамины,ДэТриФерол,ДэТриФерол 15000МЕ/мл капли для приема внутрь с банановым вкусом 15мл,https://аптека-омск.рф/lek/detriferol-15000meml-kapli-dlya-priema-vnutr-s-bananovym-vkusom-15ml
Витамины,Витамин С,Витамин С таблетки шипучие 250мг №20,https://аптека-омск.рф/lek/vitamin-s-tabletki-shipuchie-250-mg-no20-0
Витамины,Комбилипен,Комбилипен раствор для внутримышечного введения ампулы 2мл №5,https://аптека-омск.рф/lek/kombilipen-r-r-dvm-vved-amp-2ml-no5
Витамины,ДэТриФерол,ДэТриФерол 15000МЕ/мл капли для приема внутрь с апельсиновым вкусом 15мл,https://аптека-омск.рф/lek/detriferol-15000meml-15ml-flak-kapli-dpriema-vnutr-s-apelsinovym-vkusom
Витамины,ДэТриФерол,ДэТриФерол 15000МЕ/мл капли для приема внутрь с вишневым вкусом 15мл,https://аптека-омск.рф/lek/detriferol-kap-dpriema-vnutr-15000meml-fl-15ml-no1-vishnevyy-vkus
Витамины,Аквадетрим,АкваДетрим Витамин D3 капли для приема внутрь 15000 МЕ/мл флакон-капельница 15мл,https://аптека-омск.рф/lek/akvadetrim-kapli-dvnut-prim-15000-meml-flkap-15-ml-kh1
Витамины,Ларигама,Ларигама раствор для внутримышечного введения ампулы 2мл №5,https://аптека-омск.рф/lek/larigama-r-r-dvm-vveden-2ml-no5-amp
Витамины,Мальтофер,Мальтофер сироп 10мг/мл 150мл,https://аптека-омск.рф/lek/maltofer-sirop-10-mgml-150-ml
Мочеполовая система и половые гормоны,Офлоксацин,Офлоксацин таблетки покрытые плёночной оболочкой 400мг №10,https://аптека-омск.рф/lek/ofloksacin-tabletki-ppo-400mg-no10
Мочеполовая система и половые гормоны,Цефтриаксон,Цефтриаксон-АКОС порошок для приготовления раствора для внутривенного и внутримышечного введения 2г №1,https://аптека-омск.рф/lek/ceftriakson-akos-por-dprig-r-ra-dvv-i-vm-vved-2g-no1
Мочеполовая система и половые гормоны,Силденафил,Силденафил таблетки покрытые плёночной оболочкой 50мг №1,https://аптека-омск.рф/lek/sildenafil-tab-pplen-ob-50mg-no1
Мочеполовая система и половые гормоны,Фурагин,Фурагин-лект таблетки 50мг №30,https://аптека-омск.рф/lek/furagin-lekt-tabletki-50-mg-no30
Мочеполовая система и половые гормоны,Эффекс,Эффекс Силденафил таблетки покрытые пленочной оболочкой 100мг №1,https://аптека-омск.рф/lek/effeks-sildenafil-tabl-po-plen-100-mg-kh1
Мочеполовая система и половые гормоны,Эффекс,Эффекс Силденафил таблетки покрытые пленочной оболочкой 100мг №1,https://аптека-омск.рф/lek/effeks-sildenafil-tab-po-plen100mg-no1
Мочеполовая система и половые гормоны,Фурагин,Фурагин СЗ таблетки 50мг №30,https://аптека-омск.рф/lek/furagin-sz-tabletki-50mg-no30
Мочеполовая система и половые гормоны,Нитроксолин,Нитроксолин таблетки покрытые оболочкой 50мг №50,https://аптека-омск.рф/lek/nitroksolin-tab-po-005g-no50
Мочеполовая система и половые гормоны,Нитроксолин,Нитроксолин таблетки покрытые оболочкой 50мг №50,https://аптека-омск.рф/lek/nitroksolin-tab-po-50mg-no50
Мочеполовая система и половые гормоны,Тамсулозин,"Тамсулозин капсулы кишечнорастворимые с пролонгированным высвобождением 0,4мг №10",https://аптека-омск.рф/lek/tamsulozin-kaps-kishechnorastv-s-prolong-vysv-04mg-no10
Мочеполовая система и половые гормоны,Силденафил,Силденафил таблетки покрытые плёночной оболочкой 100мг №1,https://аптека-омск.рф/lek/sildenafil-tab-pplen-ob-100mg-no1
Мочеполовая система и половые гормоны,Левофлоксацин,Левофлоксацин таблетки покрытые плёночной оболочкой 250мг №5,https://аптека-омск.рф/lek/levofloksacin-tabletki-ppo-250-mg-no5
Мочеполовая система и половые гормоны,Левофлоксацин вертекс,Левофлоксацин вертекс таблетки покрытые плёночной оболочкой 250мг №5,https://аптека-омск.рф/lek/levofloksacin-verteks-tabletki-ppo-250-mg-no5
Мочеполовая система и половые гормоны,Нитроксолин,Нитроксолин-УБФ таблетки покрытые оболочкой 50мг №50,https://аптека-омск.рф/lek/nitroksolin-ubf-tab-po-005g-no50
Мочеполовая система и половые гормоны,Силденафил,Силденафил таблетки покрытые плёночной оболочкой 50мг №2,https://аптека-омск.рф/lek/sildenafil-005-n2-tabl-pplenoboloch-ozon
Мочеполовая система и половые гормоны,Офлоксацин,Офлоксацин тева таблетки 200мг №10,https://аптека-омск.рф/lek/ofloksacin-teva-tabletki-200mg-no10
Мочеполовая система и половые гормоны,Вилдегра,Вилдегра таблетки с пролонгированного действия высвобождением покрытые пленочной оболочкой 100мг №1,https://аптека-омск.рф/lek/vildegra-tabletki-s-prolongirovannym-vysvobozhdeniem-pokrytye-plenochnoy-obolochkoy-100mg-no1
Мочеполовая система и половые гормоны,Силденафил,Силденафил-СЗ таблетки покрытые плёночной оболочкой 50мг №4,https://аптека-омск.рф/lek/sildenafil-sz-tab-pplen-ob-50mg-no4
Мочеполовая система и половые гормоны,Хлоргексидин,Хлоргексидин суппозитории вагинальные 16мг №10,https://аптека-омск.рф/lek/khlorgeksidin-suppozitorii-vaginalnye-16-mg-no10
Мочеполовая система и половые гормоны,Эффекс,Эффекс Силденафил таблетки покрытые пленочной оболочкой 50мг №6,https://аптека-омск.рф/lek/effeks-sildenafil-005-n6-tabl-pplenobolochblister
Мочеполовая система и половые гормоны,Силденафил,Силденафил таблетки покрытые плёночной оболочкой 50мг №4,https://аптека-омск.рф/lek/sildenafil-tab-pplen-ob-50mg-no4
Мочеполовая система и половые гормоны,Метрогил,Метрогил гель вагинальный 1% 30г,https://аптека-омск.рф/lek/metrogil-gel-vaginalnyy-10-mgg-30-g
Мочеполовая система и половые гормоны,Силденафил,Силденафил таблетки покрытые плёночной оболочкой 100мг №2,https://аптека-омск.рф/lek/sildenafil-tab-pplen-ob-100mg-no2
Мочеполовая система и половые гормоны,Левофлоксацин,Левофлоксацин-крка таблетки покрытые пленочной оболочкой 500мг №5,https://аптека-омск.рф/lek/levofloksacin-krka-500mg-no5-tab-pplo
Мочеполовая система и половые гормоны,Леспефрил,Леспефрил раствор для приёма внутрь 100мл флакон т/ст. и/у,https://аптека-омск.рф/lek/lespefril-r-r-dpr-vnutr-100ml-fl-tst-iu
Мочеполовая система и половые гормоны,Гинипрал,Гинипрал раствор для внутривенного введения 5 мкг/мл ампулы 2мл №5,https://аптека-омск.рф/lek/ginipral-r-r-dvv-vvedeniya-5-mkgml-2ml-no5-ampuly
Мочеполовая система и половые гормоны,Финастерид,Финастерид-OBL таблетки покрытые плёночной оболочкой 5мг №30,https://аптека-омск.рф/lek/finasterid-obl-tab-pplen-ob-5mg-no30
Мочеполовая система и половые гормоны,Фреймитус,Фреймитус таблетки покрытые плёночной оболочкой 20мг №1,https://аптека-омск.рф/lek/freymitus-tab-po-plen-20mg-no1
Мочеполовая система и половые гормоны,Силденафил,Силденафил-СЗ таблетки покрытые плёночной оболочкой 100мг №4,https://аптека-омск.рф/lek/sildenafil-sz-tab-pplen-ob-100mg-no4
Мочеполовая система и половые гормоны,Силденафил,Силденафил-СЗ таблетки покрытые плёночной оболочкой 25мг №20,https://аптека-омск.рф/lek/sildenafil-sz-tab-pplen-ob-25mg-no20
Мочеполовая система и половые гормоны,Нитроксолин,Нитроксолин таблетки покрытые оболочкой 50мг №50 Авексима,https://аптека-омск.рф/lek/nitroksolin-tab-po-50mg-no50-aveksima
Мочеполовая система и половые гормоны,Омник,"Омник Окас таблетки с контролируемым высвобождением покрытые оболочкой 0,4мг №10",https://аптека-омск.рф/lek/omnik-okas-tabletki-pokrytobs-kontrvysv-04-mg-no-10-2
Мочеполовая система и половые гормоны,Омник,"Омник Окас таблетки с контролируемым высвобождением покрытые оболочкой 0,4мг №10",https://аптека-омск.рф/lek/omnik-okas-tabletki-pokrytobs-kontrvysv-04-mg-no-10
Мочеполовая система и половые гормоны,Алфупрост,Алфупрост МР таблетки пролонгированного действия 10мг №30,https://аптека-омск.рф/lek/alfuprost-mr-tabletki-prolongirovannogo-deystviya-10mg-no30-3
